timeTag,wId,devId,locId,deepId,runTimes,devStatus,dataName1,devSpeed,dataUnit1,dataName2,devDeep,dataUnit2,dataName3,dataTemp,dataUnit3,dataName4,dataConv,dataUnit4,dataName5,dataP,dataUnit5,dataName6,dataSal,dataUnit6,dataName7,dataSV,dataUnit7,dataName8,dataPH,dataUnit8,dataName9,dataZ,dataUnit9,dataName10,dataY,dataUnit10,iatitude,longitude,shipSpeed,oceanDeep
2020-09-14T13:38:17.033Z,MVP4000,MFish-8,GPS,KX,1,0,仪器深度,4.11025,米,仪器速度,-3.31,米/秒,温度,21.278,℃,电导率,0.579,S/m,压力,4.133,bar,盐度,0.9793,psu,声速,1485.27,m/s,PH值,65.7649,,浊度,0,ug/l,叶绿素,5.6468,ug/l,,,,
2020-09-14T13:38:17.075Z,MVP4000,MFish-8,GPS,KX,1,0,仪器深度,4.13014,米,仪器速度,0.47,米/秒,温度,21.174,℃,电导率,1.049,S/m,压力,4.153,bar,盐度,0.6853,psu,声速,1484.91,m/s,PH值,6.76528,,浊度,0,ug/l,叶绿素,1.1628,ug/l,,,,
2020-09-14T13:38:17.116Z,MVP4000,MFish-8,GPS,KX,1,0,仪器深度,5.35336,米,仪器速度,29.83,米/秒,温度,20.79,℃,电导率,0.759,S/m,压力,5.383,bar,盐度,0.5653,psu,声速,1485.77,m/s,PH值,6.64552,,浊度,0,ug/l,叶绿素,3.2376,ug/l,,,,
2020-09-14T13:38:17.159Z,MVP4000,MFish-8,GPS,KX,1,0,仪器深度,5.91027,米,仪器速度,12.95,米/秒,温度,20.56,℃,电导率,0.369,S/m,压力,5.943,bar,盐度,0.8463,psu,声速,1486.71,m/s,PH值,53.9519,,浊度,0,ug/l,叶绿素,3.6024,ug/l,,,,
2020-09-14T13:38:17.200Z,MVP4000,MFish-8,GPS,KX,1,0,仪器深度,5.09479,米,仪器速度,-19.89,米/秒,温度,21.278,℃,电导率,0.749,S/m,压力,5.123,bar,盐度,0.5133,psu,声速,1480.13,m/s,PH值,73.5684,,浊度,0,ug/l,叶绿素,1.7328,ug/l,,,,
2020-09-14T13:38:17.243Z,MVP4000,MFish-8,GPS,KX,1,1,仪器深度,5.77104,米,仪器速度,15.73,米/秒,温度,21.299,℃,电导率,1.089,S/m,压力,5.803,bar,盐度,0.3633,psu,声速,1480.21,m/s,PH值,54.5324,,浊度,0,ug/l,叶绿素,3.4504,ug/l,,,,
2020-09-14T13:38:17.285Z,MVP4000,MFish-8,GPS,KX,1,1,仪器深度,5.33347,米,仪器速度,-10.42,米/秒,温度,20.906,℃,电导率,0.789,S/m,压力,5.363,bar,盐度,0.4593,psu,声速,1477.03,m/s,PH值,69.5882,,浊度,0,ug/l,叶绿素,3.0932,ug/l,,,,
2020-09-14T13:38:17.326Z,MVP4000,MFish-8,GPS,KX,1,1,仪器深度,4.80639,米,仪器速度,-12.86,米/秒,温度,20.966,℃,电导率,0.779,S/m,压力,4.833,bar,盐度,0.9603,psu,声速,1481.22,m/s,PH值,11.1347,,浊度,0,ug/l,叶绿素,2.4168,ug/l,,,,
2020-09-14T13:38:17.370Z,MVP4000,MFish-8,GPS,KX,1,1,仪器深度,6.0296,米,仪器速度,27.8,米/秒,温度,20.554,℃,电导率,0.369,S/m,压力,6.063,bar,盐度,0.8983,psu,声速,1483.66,m/s,PH值,57.0274,,浊度,0,ug/l,叶绿素,1.4668,ug/l,,,,
2020-09-14T13:38:17.411Z,MVP4000,MFish-8,GPS,KX,1,1,仪器深度,4.42849,米,仪器速度,-39.05,米/秒,温度,20.592,℃,电导率,1.139,S/m,压力,4.453,bar,盐度,0.8693,psu,声速,1486.12,m/s,PH值,50.4157,,浊度,0,ug/l,叶绿素,4.2712,ug/l,,,,
2020-09-14T13:38:17.453Z,MVP4000,MFish-8,GPS,KX,1,1,仪器深度,4.44838,米,仪器速度,0.47,米/秒,温度,21.054,℃,电导率,0.429,S/m,压力,4.473,bar,盐度,0.7273,psu,声速,1481.19,m/s,PH值,61.179,,浊度,0,ug/l,叶绿素,3.3668,ug/l,,,,
2020-09-14T13:38:17.495Z,MVP4000,MFish-8,GPS,KX,1,1,仪器深度,4.5528,米,仪器速度,2.49,米/秒,温度,20.614,℃,电导率,0.529,S/m,压力,4.578,bar,盐度,0.2333,psu,声速,1478.63,m/s,PH值,53.5336,,浊度,0,ug/l,叶绿素,3.5492,ug/l,,,,
